title,price_clean,brand,animal_type,product_type,availability
"Whiskas Adult (+1 Year) Dry Cat Food, Mackerel Flavour, 3Kg Pack & Adult (+1 Year) Wet Cat Food, Ocean Fish, 24 Pouches (24 X 85G)",970.0,whiskas,Cats,Food,Currently unavailable.    We don't know when or if this item will be back in stock.
Maxbell Comfortabe Dog Collar Pet Protective E-Collar for Dogs and Cats M,873.0,Maxbell,Cats,"Collars, Harnesses & Leashes",Usually dispatched in 4 to 5 days.
"WUMUGE Bird Ladder Toys, Flexible and Bendable Bird Decorated with Rainbow Ladder Birdcage Accessories Swing Chewing Toys Bird Toys for Parakeets (8 Steps)",,WUMUGE,Birds,Toys,
"Cat Scratch Board, Grinding Claw Cat Scratcher Cartoon for Indoor Cats for Cats to Rest(Elephant)",2432.0,Haowecib,Cats,Beds & Furniture,Usually dispatched in 6 to 10 days.
"Pawfect - Nature's Feast | Freeze Dried Grain Free Meat Treats for Dog -100% Natural | Human Grade | All Ages Dogs (Goat Meat, Pack of 2)- 50g Each",699.0,Pawfect Treats,Cats,Treats,In stock.
Meri Shopp Safety Bird & Small Animals Plastic Fruit Vegetable Holder for Cages Green,,Generic,Small Animals,Health Supplies,
Puppia Hepatica Harness B - Black - L,,Puppia,Cats,"Collars, Harnesses & Leashes",Currently unavailable.    We don't know when or if this item will be back in stock.
GIANTE Dual Tier Winter Warm Pets Nest Parrot Hut Hammock Birds Hanging Bed Swing 5,1260.0,Generic,Cats,Beds & Furniture,Usually dispatched in 4 to 5 days.
Trendy Retail Natural Hanging Nest Pet Bird House Hatch Parrot Rest Hut Gourd,3480.0,Trendy Retail,Birds,Birdcage Accessories,Usually dispatched in 1 to 3 weeks.
"Bird Nest, Winter Warm Windproof Bed Bag Hanging Parrot House Hammock for Pet Parrot Budgie Parakeet Cockatoo Canary Finch Dove (L)",2491.0,HUI,Birds,Birdcage Accessories,In stock.
InLeague Portable Hanging Rabbit Hay Feeder Bag Pouch Feeding Dispenser Holder Black (64039435IL),1686.0,Generic,Small Animals,Food,Usually dispatched in 6 to 10 days.
GIANTE 6Pcs Bird Swing Toys Colorful Ball Block Pet Bird Bite Chewing Toy,2121.0,Generic,Birds,Toys,Usually dispatched in 4 to 5 days.
Trendy Retail Pet Birds Cage Hanging Bathtub Birds Parrots Bathroom Cage Box Toy White-A,2491.0,Trendy Retail,Birds,Toys,Usually dispatched in 1 to 3 weeks.
"Petmate Litter Pan, Blue Mesa/ Mouse Grey, Large, 2 Pack",21970.0,Doskocil,Cats,Litter & Housebreaking,Usually dispatched in 2 to 3 days.
SRI Soft Cat Premium Bed (Blue),699.0,Visit the SRI Store,Cats,Beds & Furniture,Only 2 left in stock.
"PETSMAKER (Pink,Cream) All Seanson Double Side Use Lovely (Small Size) Fabric Dog & cat Solid t Bed",799.0,PETSMAKER,Small Animals,Houses & Habitats,Only 2 left in stock.
Aswadh Parrot Puzzle Toy Bird Ring Toy Fencing Training Intelligence Development,2352.0,Generic,Birds,Toys,Usually dispatched in 4 to 5 days.
"JiMMy Exclusive Daily Mix - Food for Finch,Canary,Exotic Birds- 400 GMS-Powered with Fruit Pellets & Calcium -Bird Food",230.0,Visit the JiMMy Pet Products Store,Birds,Food,In stock.
Pooch Box Catch The Mouse Motion Cat Toy (Color May Vary),345.0,PoochBox,Cats,Toys,In stock.
MACOS Engraved Personalised Heart Pet Tag for Dogs and Cats [Purple],399.0,MACOS,Cats,"Collars, Harnesses & Leashes",In stock.
Meri Shopp Bird Parrot Cage Swing Toys Small Animals Hammock Hanging Perch Stand Toy,,Generic,Birds,Toys,
Slicker Cat Brush,1514.0,Hartz,Cats,Grooming,Usually dispatched in 6 to 10 days.
"RvPaws Interactive Rolly Polly Tumbler Cat Toy Kitten Toys, Cat Tumblar Toy (Color May Vary)",399.0,Visit the RvPaws Store,Cats,Toys,In stock.
Aswadh Cat Scratch Board Box Carton Pet Nest Bed Cat Scratching Mat Toy Bus,3132.0,Generic,Cats,Beds & Furniture,Usually dispatched in 4 to 5 days.
DIYthinker Indian Art Drawing l Pet Tag Keychain Dog Cat ID,1614.51,Bestchong,Cats,"Collars, Harnesses & Leashes",In stock.
"PSK PET MART Elastic Feather Scratch Boards Round Table with Bells (Colour May Vary, 10 cm)",250.0,Visit the PSK PET MART Store,Cats,Toys,In stock.
Himchelate Animal Feed Supplement Improves Milk Production & Reproductive Health Mineral Mixture Powder (5kg),1849.0,Generic,Small Animals,Health Supplies,In stock.
Bird cage Cover Warm & Good for Winter Size : 26Lx20Wx36H inch - PLS Check Size Before Buying...Colour May Vary,3999.0,Birds' Park,Small Animals,Houses & Habitats,In stock.
"Smith Chu Professional Pet Grooming Scissors Set - 4pcs 440c Stainless Steel Hair Cutting Thinning Chunkers Curved Shears for Dogs Cats with Comb - Best Tools for Trimming,6.5 inch (Scissors Set)",559.0,SMITH CHU,Cats,Grooming,
"Combo 3 Set Bird Cage Perch Natural Wood Stand Perch for Small or Medium Parrots,Lovebird,Parakeet Platform Budgie Toys Cages Accessories",249.0,Generic,Birds,Birdcage Accessories,In stock.
"Interesting Bite Toy, Non-Toxic Smooth Round Edge Bird Toy, Bite-Resistant Acrylic for Birds Parrots",1224.6,Yuniror,Birds,Toys,Usually dispatched in 1 to 3 weeks.
MACOS Engraved Personalised Star Pet Tag for Dogs and Cats [Golden],349.0,MACOS,Cats,"Collars, Harnesses & Leashes",In stock.
"Cat Pooper Lifter, Large Capacity Cat Litter Cleaning Tool PP Plastic Material for Cat Litter Boxes for Cleaning(Light Brown)",997.0,Worem,Cats,Litter & Housebreaking,Usually dispatched in 6 to 10 days.
"Bird Hammock Bed, Pet Hanging Nests Pet Hanging Cage Soft for Hamster for for(L, Camouflage)",1112.0,Sojare,Cats,Beds & Furniture,Only 2 left in stock.
"Reversible Paw Print Pet Bed in Blue / White, Dog Bed Measures 17L x 11W x 1.5H for ""Tiny"" Dog Breed, Machine Wash",379.0,MidWest Homes for Pets,Cats,Beds & Furniture,
"Chicken Vegetable Hanging Feeder, Chicken Veggies Fruit Holder Bag Bite Resistant Safe Strong Load Bearing for Chickens for Duck for Goose",1204.0,Cryfokt,Birds,Food,Usually dispatched in 6 to 10 days.
"Bird Shredder Toys, Bird Chewing Toys Arouse Bird's Interest. Bright Colors for Pets Parrots",838.0,Shanrya,Birds,Food,In stock.
Sage Square 6 Inches / 15 cm Natural Habitat Wooden Perch/Stand/Toy for Birds (Light Weight),159.0,Visit the Sage Square Store,Birds,Birdcage Accessories,In stock.
Pets Empire Birds Chewing Toys,249.0,Visit the PETS EMPIRE Store,Birds,Toys,In stock.
"Super Bird Creations 10 by 4-Inch Starburst Bird Toy, Medium",,Super bird,Birds,Toys,
"Boltz Bird Litter Spray, Medium, 200 ml, 1 Piece",241.53,Visit the BOLTZ Store,Birds,Health Supplies,In stock.
"Pet Hanging Ladder, Bird Rope Ladder Natural for Most Small Rodents for Chewing(40cm, Blue)",,Crisis,Birds,Birdcage Accessories,
Pet Believe Nylon Reflective Safety Cats Collar with Bells - Neon Orange,199.0,Visit the Pet Believe Store,Cats,"Collars, Harnesses & Leashes",In stock.
"Voyager Step-in Lock Cat Harness - Adjustable Step-in Vest Harness for Small and Large Cats - Turquoise (Matching Trim) , XXXS (Chest: 9 - 13"" * Fit Cats), Model Number: 217-TQW-XXXS",377.0,Best Pet Supplies,Cats,"Collars, Harnesses & Leashes",
"Chicken Beak, Chicken Beak Clip Anti Pecking 200PCS Corrosion Resistant for Poultry Farm for Chicken Farm(Small White)",1134.0,Hoseten,Birds,Feeding & Watering Supplies,In stock.
"Dining Bowl, Imitation Porcelain Salad Bowl 12PCS Large Capacity Beautiful Stackable for Food Container for Kitchen GIFS(Dark Blue Grid)",7989.0,JUYT,Cats,Feeding & Watering Supplies,Usually dispatched in 1 to 3 weeks.
ROODO Pets Dog Stroller Pet Strollers for Small Medium Dogs Cats 4 Wheeler Elite Jogger Carriages Best for Cat Large Puppy (Black),7500.0,ROODO,Cats,Carriers & Strollers,
"GlobalNiche® Sky Blue, L: 100Pcs/Lot Cat Nail Caps Cat Soft Paws Cat Claw 4Size Xs, S,M, L Free Adhesive Colourful and Mixture Size Colour Available",3775.0,Generic,Cats,Food,Usually dispatched in 2 to 3 weeks.
"Zoo Med 26340 Pacman Frog Food, 2 oz",2277.0,Zoo Med,Small Animals,Food,Usually dispatched in 6 to 10 days.
Meri Shopp Clear Acrylic Bird Feeder Food Box Anti-Scatter Parrot Feeder Triangular,,Generic,Birds,Feeding & Watering Supplies,
Meri SHOPP Sturdy Cat Hammock Window Perch Suction Cups Sleeping Bed Seat PVC Grids,,Generic,Cats,Beds & Furniture,
Maxbell Dog Cage Mat Pets Self Cooling Mattress Bed Pad Sleeping Mat Pink 76x58cm,4455.0,Maxbell,Cats,Beds & Furniture,Usually dispatched in 4 to 5 days.
Big Shoppe Natural Bamboo Bird Nest Birdhouse Handmade Outdoor Garden Birdcage Cage L,,Generic,Birds,Birdcage Accessories,
"Bird Toy Toy, Playing Toy Wooden Toy, Wooden 60 * 15cm Cockatiel for Bird Parakeet",,Aiterwu,Birds,Toys,
Maxbell Pet Dog Bling Collar Cat Puppy Safety Collar Neck Strap Football Pendant White M,766.0,Maxbell,Cats,"Collars, Harnesses & Leashes",Usually dispatched in 4 to 5 days.
SCENEREAL Collapsible Portable Cat Litter Box - Foldable Feeding Bowl and Scoop for Free - Travel Litter Box for Cats Lightweight Waterproof,1903.0,SCENEREAL,Cats,Litter & Housebreaking,
"Pets Empire Best Stainless Steel Birds Coop Cup Feeder Bowl with Clamp Holder Combo Offer, 500 ml (Pack of 3)",379.0,Visit the PETS EMPIRE Store,Birds,Feeding & Watering Supplies,In stock.
"KUTKUT Pack of 2 Striped Dress for Small Dog Girl Puppy Clothes Female Princess Tutu Frock Skirt Summer Shirt for Shihtzu, Pug, Poodle Cat Pet Apparel Outfits (Size: 2XL, Chest: 55cm)",1099.0,Visit the KUTKUT Store,Dogs,Apparel & Accessories,In stock.
"3set Training Toys, Parrots Chewing Toy, Bite Chewing Screws Parakeets for Parrots",610.0,Meiyya,Birds,Toys,Only 1 left in stock.
Hamiledyi 15 Pack Woven Bed Mat for Rabbits - Grass Mat & Bunny Bedding Nest - Natural Chew Toy Bed for Guinea Pig Chinchilla Squirrel Hamster Cat Dog and Small Animal,399.0,Hamiledyi,Small Animals,Houses & Habitats,
"Bird Food Cups with Natural Wooden Perch, Bird Mirror Toys with Stainless Steel Food Bowls, Fun Stand Platform Toys for Birdcage, Bird Feeding & Watering Supplies for Parrot Cockatiels Parakeet Finch",2000.0,LeLePet,Birds,Feeding & Watering Supplies,
Nature care Bird nest breeding House Sparrow Garden Birds Wood Bird Nest (S21),399.0,Nature Care,Birds,Birdcage Accessories,In stock.
"Yellow Dog Design Spirals Blue Step-in Dog Harness-Large-1"" Wide and fits Chest Circumference of 25 to 40""",,Yellow Dog Design,Dogs,"Collars, Harnesses & Leashes",
"Bird Nests, Bird House Ornament, Moisture‑Resistant for Swallows Birds",844.0,Velaurs,Birds,Birdcage Accessories,In stock.
Purina Fancy Feast Tender Chicken Feast Wet Cat Food Pack of 6 X 85g Cans (1 Can Free with 5 Cans),500.0,Fancy Feast,Cats,Food,In stock.
Aswadh Portable Pet Dog Cat Food Spoon Shovel Garden Compost Animal Feeding Gray Green,798.0,Generic,Cats,Food,Usually dispatched in 4 to 5 days.
WorldCare® Faux Mouse Feather Dangle Fun Bell 1Pcs For Pet Cat Kitten Kitty Cat Toys,1765.0,Generic,Cats,Toys,Usually dispatched in 2 to 3 weeks.
"REFIT ANIMAL CARE Iron Liver Tonic for Cow, Pig, Poultry & Farm Animals, 5 LTR, Hemliv +",1199.0,Visit the REFIT ANIMAL CARE Store,Small Animals,Health Supplies,In stock.
"Bird Cage Supplies, Pet Parrots Swing Strong Environmental Protection 2pcs Natural Wooden Materials with Cute Bells for Climb for Chew",3062.0,HOUH,Birds,Toys,Usually dispatched in 1 to 3 weeks.
"Red Dingo Pet Donut Bed, Small, Chocolate",11233.0,Red Dingo,Cats,Beds & Furniture,Usually dispatched in 6 to 10 days.
Plastic Tower of Tracks Cat Turntable Toy with Balls Pet Amusement Interactive Board Game Toys,410.0,Generic,Cats,Toys,Only 2 left in stock.
"White Bird cage for Budgies,Finches,Love Birds,Cocktails,Conures,Cuttlefish BoneHolder ,Cuttlefish Bone, 2 Cups ,2 Perch Stick, 2swings and Ladder L : 24"" , B : 18"", H:18 ""- Central Fish Aquarium",2199.0,Visit the CENTRAL FISH AQUARIUM Store,Birds,Birdcages,Currently unavailable.    We don't know when or if this item will be back in stock.
"Pups&Pets 2PCS Breakaway Bowtie Cat Collar -Cat Collar with Bell Kitten Collars with Bell Charm, Solid & Safe,( Buy 1 Get 1 Free = 2PCS )",199.0,Pups&Pets,Cats,"Collars, Harnesses & Leashes",In stock.
GlobalNiche® Large Bird Play Toy Game RingsToy Bird Gym Training Toy Gnawing Chewing Toy,,Generic,Birds,Toys,
CONODIA Natural Wooden chew Play Toy for Parrot Birds,300.0,CONODIA,Birds,Toys,In stock.
"Chicken Diapers, Reusable Duckling Diapers Easy to Wear Waterproof Breathable with Inside Pocket for Hen Chicken(Denim Blue, L)",661.0,Gind,Birds,Bird Diapers,Usually dispatched in 6 to 10 days.
"Bite Resistant Pad Toy, Practical Pet Play Mat Bite‑Resistant Cat Playing Mat Multifunctional with Felt Fabric for Activity for Pet",1797.0,Mugasty,Cats,Toys,Usually dispatched in 1 to 3 weeks.
"Mirror, Safe Birds Toy Anti Shatter for Parrots for Birds",739.0,Hoseten,Birds,Toys,In stock.
"Bird Feeder, Easy to Clean Tube Hanging Feeders Convenient 360 Degree View Easy to Hang for Outdoors Garden(Red Tube 50)",1547.0,Ouee,Birds,Feeding & Watering Supplies,Usually dispatched in 4 to 5 days.
"Belity 1/4"" AC R-12 to R-134a Retrofit Valve Quick Change Conversion Adapter High/Low Fitting A/C System Caps Kit",1444.0,Belity,Birds,Toys,Usually dispatched in 4 to 5 days.
"Hamster Ladder Toys, Toy, Wooden Durable Climbing Kits for Parrots Birds",924.0,Wuqioei,Small Animals,Health Supplies,Usually dispatched in 2 to 3 weeks.
Kaytee Cracked Corn 4 Lbs.,1465.0,Kaytee,Birds,Food,
"Sage Square Set of 2 Playful Natural Wooden Bead Swing Toy for Parrot, Budgies, Cockatiel, Lovebird, Budgerigar, Sun Conure, Finch, African Grey, Canary, Cockatoo, Macaw Birds",369.0,Visit the Sage Square Store,Birds,Toys,Only 2 left in stock.
Meri SHOPP Pet Dog Braided Leather Collar Cat Buckle Puppy Collar Neck Strap Colorful,,Generic,Cats,"Collars, Harnesses & Leashes",
"iiLio Best Antifungal Drybath for Small Pets (200ml) (Mouse, Rat, Rabbit, Hamster, Guinea Pigs)",280.0,Visit the iiLio Store,Small Animals,Health Supplies,Usually dispatched in 4 to 5 days.
"Colorful, Multi-Shaped, Handmade Big Bird bite Toy for a in a cage for:",,WNUV,Birds,Toys,
BackToNest BVN5 Garden Birds Nest Box,399.0,BackToNest,Birds,Birdcage Accessories,In stock.
"Bird Food Box, Plastic Bird Feeder Container for Bird for(Green 300 * 125 * 80 (mm))",2459.0,Ouee,Birds,Feeding & Watering Supplies,Usually dispatched in 4 to 5 days.
THE DDS STORE Professional Pet Nail Clipper Scissor Cutter for Dog Cat Claw Bird Guinea Pigs Puppies Rabbits Ferrets Animal Grooming Sharp Stainless Steel Trimmer for Small and Large Pets- Color may vary,225.0,Visit the THE DDS STORE Store,Cats,Grooming,In stock.
"Kapoor Enterprise Birds CAGE/Easy Installation/Suitable for Lovebirds, Finch, Parakeet, Canary for Small Birds (15 INCH) Bird House (Hanging)",999.0,Kapoor Enterprise,Birds,Birdcages,Only 1 left in stock.
Kaytee CritterTrail Fun-nel Look-Out,2517.0,Kaytee,Small Animals,Houses & Habitats,
"iPhone 6 Cats, Cute Cat, Love Cats, Love, Sweet, Cat",250.0,URCHIN,Cats,Beds & Furniture,In stock.
PETSMAKER(Red) All Seanson Double Side Use Lovely (Large Size) Fabric Dog & cat Solid t Bed,,PETSMAKER,Small Animals,Houses & Habitats,
Ubersweet® Imported N Non-Toxic Sisal Hemp Cat Scratching Post Protecting Furniture A3H1_51064,,ubersweet,Cats,Beds & Furniture,
"Pets Empire Cat Litter Tray Box Top Entry Top Out to Prevent Litter Spilling for Cat Pet Plastic Toilet Tray (Color : Pink, Size : 47 * 47 * 35cm)",3183.0,Visit the PETS EMPIRE Store,Cats,Litter & Housebreaking,Only 1 left in stock.
VMS INDIA Woven Straw Bird Nest Cage Birdhouse/Bed House for Parrot Pigeon etc Style_1,1055.0,VMS INDIA,Birds,Birdcage Accessories,Usually dispatched in 4 to 5 days.
"Funny Cat Stick, Cat Feather Toy Safe and Non‑Toxic Fun Natural Feathers for Cat(Blue)",,01,Cats,Toys,
RvPaws Adjustable Kitten Collar Printed Bell Cat Pet Puppy -Color May Vary,199.0,Visit the RvPaws Store,Cats,"Collars, Harnesses & Leashes",In stock.
"PREVUE PET PRODUCTS Playpen Wood Tabletop Cockatiel 19""x14.5""",8630.0,Prevue Hendryx,Birds,Toys,Usually dispatched in 6 to 10 days.
Skybeings Hanging Medium Bird Feeder | Bird Cage | Bird Food | Bird Feeding Cage with Wall Mount Black Metal Stand 2 Piece_Yellow,589.0,Skybeings,Birds,Feeding & Watering Supplies,In stock.
"HANU Sunflower Seed Bird Food, 1 Kg 09",328.0,Generic,Birds,Food,In stock.
"CLOVERPET C0203 Innovative Fashion Bubble Pet Travel Carrier Backpack for Cats Dogs Puppy, Yellow, 13.4"" LX13 WX16.9 H",945.0,CLOVERPET,Dogs,Carriers & Travel Products,
Aswadh Mini Cat Litter Box Tray Anti Splash Toilet Fenced Pan with Shovel Pink,2639.0,Generic,Cats,Litter & Housebreaking,Usually dispatched in 4 to 5 days.
"Reptile Net Hammock, Fixed Durable Practical Reptile Hammock Breathable with Suction Cups for Anoles for Iguanas for Lizards(Green, S)",975.0,Liujaos,Cats,Beds & Furniture,Usually dispatched in 6 to 10 days.
Sherpa Travel Original Deluxe Airline Approved Pet Carrier,289.0,Sherpa,Dogs,Carriers & Travel Products,
"Warm Hammock, Cage Hanging Hammock 23cm / 9.1in with Hanging Hooks for Bird for Hamsters(#1)",1216.8,Yuniror,Cats,Beds & Furniture,Usually dispatched in 6 to 10 days.
Soft Comfortable Cold Winter Small Animal Mat Hamster Pig Pet Hedgehog Warm Sleeping Bed Pad Mat L Cream,866.0,Visit the IVELECT Store,Small Animals,Houses & Habitats,Usually dispatched in 6 to 10 days.
